make,model,colour,capacity,network,grade,condition,count
Acer,"LIQUID E600",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",1
Acer,"LIQUID E600",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,1
Acer,"LIQUID E600",Black,"Not Applicable",Unlocked,"Insurance Grade","Non-working - Need Repair - Software",1
Acer,"LIQUID E600",Silver,"Not Applicable",Unlocked,"Insurance Grade","Brand New",1
Acer,"LIQUID EXPRESS E320",Grey,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery",1
Acer,"LIQUID EXPRESS E320",Grey,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",1
Acer,"LIQUID EXPRESS E320",Grey,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery",3
Acer,"LIQUID GLOW E330",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery",1
Acer,"LIQUID GLOW E330",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Acer,"LIQUID JADE S55",White,8GB,Unlocked,"Insurance Grade","Brand New",1
Acer,"LIQUID JADE S55",Black,8GB,Unlocked,"Insurance Grade","Brand New",2
Acer,"LIQUID JADE S55",White,8GB,Unlocked,"Grade A - Very Good Condition",Working,1
Acer,"LIQUID JADE Z",Black,8GB,Unlocked,"Insurance Grade","Brand New",2
Acer,"LIQUID S1",Black,8GB,"EE Network","Not Graded","Non-working - Need Battery",2
Acer,"LIQUID Z110",White,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Repair - Software",1
Acer,"LIQUID Z110",White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,1
Acer,"LIQUID Z110",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery",3
Acer,"LIQUID Z110",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",1
Acer,"LIQUID Z110",White,"Not Applicable",Unlocked,"Insurance Grade","Brand New",1
Acer,"LIQUID Z110",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,2
Acer,"LIQUID Z110",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery",6
Acer,"LIQUID Z110",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,5
Acer,"LIQUID Z110",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,4
Acer,"liquid z2",White,2GB,Unlocked,"Grade A - Very Good Condition",Working,1
Acer,"liquid z2",Black,2GB,Unlocked,"Grade B - Good Condition",Working,3
Acer,"liquid z2",Black,2GB,Unlocked,"Grade A - Very Good Condition",Working,4
